symbol,fundingTime,fundingRate
SUIUSDT,1694419200000,-7.96e-05
SUIUSDT,1694448000001,-8.804e-05
DENTUSDT,1694390400000,0.0001
DENTUSDT,1694419200000,9.435e-05
DENTUSDT,1694448000001,5.527e-05
TRUUSDT,1694390400000,0.0001
TRUUSDT,1694419200000,0.0001
TRUUSDT,1694448000001,0.0001
CKBUSDT,1694390400000,0.0001
CKBUSDT,1694419200000,0.0001
CKBUSDT,1694448000001,0.0001
SSVUSDT,1694390400000,0.0001
SSVUSDT,1694419200000,0.0001
SSVUSDT,1694448000001,2.779e-05
CYBERUSDT,1694390400000,0.0001
CYBERUSDT,1694419200000,0.0001
CYBERUSDT,1694448000001,-8.15e-05
C98USDT,1694390400000,-0.00019417
C98USDT,1694419200000,0.0001
C98USDT,1694448000001,0.0001
ZENUSDT,1694390400000,7.463e-05
ZENUSDT,1694419200000,-1.567e-05
ZENUSDT,1694448000001,1.829e-05
NEARUSDT,1694390400000,-9.328e-05
NEARUSDT,1694419200000,7.902e-05
NEARUSDT,1694448000001,-0.00010677
BCHUSDT,1694390400000,-0.00012257
BCHUSDT,1694419200000,2.709e-05
BCHUSDT,1694448000001,-0.00015761
1000SHIBUSDT,1694390400000,-3.108e-05
1000SHIBUSDT,1694419200000,-1e-07
1000SHIBUSDT,1694448000001,-8.4e-07
ANTUSDT,1694390400000,3.456e-05
ANTUSDT,1694419200000,6.14e-05
ANTUSDT,1694448000001,0.0001
TLMUSDT,1694390400000,-0.00027168
TLMUSDT,1694419200000,-6.332e-05
TLMUSDT,1694448000001,0.0001
AAVEUSDT,1694390400000,-4.377e-05
AAVEUSDT,1694419200000,9.01e-06
AAVEUSDT,1694448000001,5.345e-05
ICPUSDT,1694390400000,-0.0001346
ICPUSDT,1694419200000,4.458e-05
ICPUSDT,1694448000001,-3.617e-05
1000LUNCUSDT,1694390400000,0.0001
1000LUNCUSDT,1694419200000,0.0001
1000LUNCUSDT,1694448000001,-0.00015564
RADUSDT,1694390400000,0.0001
RADUSDT,1694419200000,0.0001
RADUSDT,1694448000001,7.522e-05
AVAXUSDT,1694390400000,-0.00022746
AVAXUSDT,1694419200000,-0.00018572
AVAXUSDT,1694448000001,-2.498e-05
MAGICUSDT,1694390400000,-4.679e-05
MAGICUSDT,1694419200000,6.957e-05
MAGICUSDT,1694448000001,7.933e-05
ROSEUSDT,1694390400000,-8.045e-05
ROSEUSDT,1694419200000,-9.523e-05
ROSEUSDT,1694448000001,9.991e-05
MATICUSDT,1694390400000,-4.46e-06
MATICUSDT,1694419200000,3.042e-05
MATICUSDT,1694448000001,-0.00013698
XVGUSDT,1694390400000,1.82e-05
XVGUSDT,1694419200000,2.618e-05
XVGUSDT,1694448000001,0.0001
MKRUSDT,1694390400000,1.91e-06
MKRUSDT,1694419200000,6.842e-05
MKRUSDT,1694448000001,3.863e-05
PEOPLEUSDT,1694390400000,3.43e-06
PEOPLEUSDT,1694419200000,0.0001
PEOPLEUSDT,1694448000001,0.0001
THETAUSDT,1694390400000,0.0001
THETAUSDT,1694419200000,6.016e-05
THETAUSDT,1694448000001,0.0001
UNIUSDT,1694390400000,-4.118e-05
UNIUSDT,1694419200000,6.412e-05
